,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2342386,1743-11-01,8.285,1.843,Florence,Italy,44.20N,11.18E
2342387,1743-12-01,,,Florence,Italy,44.20N,11.18E
2342388,1744-01-01,,,Florence,Italy,44.20N,11.18E
2342389,1744-02-01,,,Florence,Italy,44.20N,11.18E
2342390,1744-03-01,,,Florence,Italy,44.20N,11.18E
2342391,1744-04-01,12.139,2.069,Florence,Italy,44.20N,11.18E
2342392,1744-05-01,14.029000000000002,1.764,Florence,Italy,44.20N,11.18E
2342393,1744-06-01,18.377,1.681,Florence,Italy,44.20N,11.18E
2342394,1744-07-01,21.096,1.689,Florence,Italy,44.20N,11.18E
2342395,1744-08-01,,,Florence,Italy,44.20N,11.18E
2342396,1744-09-01,17.088,1.778,Florence,Italy,44.20N,11.18E
2342397,1744-10-01,12.175,1.801,Florence,Italy,44.20N,11.18E
2342398,1744-11-01,7.8409999999999975,1.712,Florence,Italy,44.20N,11.18E
2342399,1744-12-01,3.761,1.905,Florence,Italy,44.20N,11.18E
2342400,1745-01-01,1.2889999999999997,1.997,Florence,Italy,44.20N,11.18E
2342401,1745-02-01,3.053,1.882,Florence,Italy,44.20N,11.18E
2342402,1745-03-01,5.638999999999999,1.638,Florence,Italy,44.20N,11.18E
2342403,1745-04-01,10.215,1.605,Florence,Italy,44.20N,11.18E
2342404,1745-05-01,,,Florence,Italy,44.20N,11.18E
2342405,1745-06-01,,,Florence,Italy,44.20N,11.18E
2342406,1745-07-01,,,Florence,Italy,44.20N,11.18E
2342407,1745-08-01,,,Florence,Italy,44.20N,11.18E
2342408,1745-09-01,,,Florence,Italy,44.20N,11.18E
2342409,1745-10-01,,,Florence,Italy,44.20N,11.18E
2342410,1745-11-01,,,Florence,Italy,44.20N,11.18E
2342411,1745-12-01,,,Florence,Italy,44.20N,11.18E
2342412,1746-01-01,,,Florence,Italy,44.20N,11.18E
2342413,1746-02-01,,,Florence,Italy,44.20N,11.18E
2342414,1746-03-01,,,Florence,Italy,44.20N,11.18E
2342415,1746-04-01,,,Florence,Italy,44.20N,11.18E
2342416,1746-05-01,,,Florence,Italy,44.20N,11.18E
2342417,1746-06-01,,,Florence,Italy,44.20N,11.18E
2342418,1746-07-01,,,Florence,Italy,44.20N,11.18E
2342419,1746-08-01,,,Florence,Italy,44.20N,11.18E
2342420,1746-09-01,,,Florence,Italy,44.20N,11.18E
2342421,1746-10-01,,,Florence,Italy,44.20N,11.18E
2342422,1746-11-01,,,Florence,Italy,44.20N,11.18E
2342423,1746-12-01,,,Florence,Italy,44.20N,11.18E
2342424,1747-01-01,,,Florence,Italy,44.20N,11.18E
2342425,1747-02-01,,,Florence,Italy,44.20N,11.18E
2342426,1747-03-01,,,Florence,Italy,44.20N,11.18E
2342427,1747-04-01,,,Florence,Italy,44.20N,11.18E
2342428,1747-05-01,,,Florence,Italy,44.20N,11.18E
2342429,1747-06-01,,,Florence,Italy,44.20N,11.18E
2342430,1747-07-01,,,Florence,Italy,44.20N,11.18E
2342431,1747-08-01,,,Florence,Italy,44.20N,11.18E
2342432,1747-09-01,,,Florence,Italy,44.20N,11.18E
2342433,1747-10-01,,,Florence,Italy,44.20N,11.18E
2342434,1747-11-01,,,Florence,Italy,44.20N,11.18E
2342435,1747-12-01,,,Florence,Italy,44.20N,11.18E
2342436,1748-01-01,,,Florence,Italy,44.20N,11.18E
2342437,1748-02-01,,,Florence,Italy,44.20N,11.18E
2342438,1748-03-01,,,Florence,Italy,44.20N,11.18E
2342439,1748-04-01,,,Florence,Italy,44.20N,11.18E
2342440,1748-05-01,,,Florence,Italy,44.20N,11.18E
2342441,1748-06-01,,,Florence,Italy,44.20N,11.18E
2342442,1748-07-01,,,Florence,Italy,44.20N,11.18E
2342443,1748-08-01,,,Florence,Italy,44.20N,11.18E
2342444,1748-09-01,,,Florence,Italy,44.20N,11.18E
2342445,1748-10-01,,,Florence,Italy,44.20N,11.18E
2342446,1748-11-01,,,Florence,Italy,44.20N,11.18E
2342447,1748-12-01,,,Florence,Italy,44.20N,11.18E
2342448,1749-01-01,,,Florence,Italy,44.20N,11.18E
2342449,1749-02-01,,,Florence,Italy,44.20N,11.18E
2342450,1749-03-01,,,Florence,Italy,44.20N,11.18E
2342451,1749-04-01,,,Florence,Italy,44.20N,11.18E
2342452,1749-05-01,,,Florence,Italy,44.20N,11.18E
2342453,1749-06-01,,,Florence,Italy,44.20N,11.18E
2342454,1749-07-01,,,Florence,Italy,44.20N,11.18E
2342455,1749-08-01,,,Florence,Italy,44.20N,11.18E
2342456,1749-09-01,,,Florence,Italy,44.20N,11.18E
2342457,1749-10-01,,,Florence,Italy,44.20N,11.18E
2342458,1749-11-01,,,Florence,Italy,44.20N,11.18E
2342459,1749-12-01,,,Florence,Italy,44.20N,11.18E
2342460,1750-01-01,2.702,1.749,Florence,Italy,44.20N,11.18E
2342461,1750-02-01,5.849,2.126,Florence,Italy,44.20N,11.18E
2342462,1750-03-01,8.922,2.176,Florence,Italy,44.20N,11.18E
2342463,1750-04-01,10.431,1.556,Florence,Italy,44.20N,11.18E
2342464,1750-05-01,15.17,1.7990000000000002,Florence,Italy,44.20N,11.18E
2342465,1750-06-01,19.116,1.636,Florence,Italy,44.20N,11.18E
2342466,1750-07-01,23.4,1.561,Florence,Italy,44.20N,11.18E
2342467,1750-08-01,21.551,1.479,Florence,Italy,44.20N,11.18E
2342468,1750-09-01,17.467000000000002,1.518,Florence,Italy,44.20N,11.18E
2342469,1750-10-01,10.473,1.612,Florence,Italy,44.20N,11.18E
2342470,1750-11-01,,,Florence,Italy,44.20N,11.18E
2342471,1750-12-01,3.435,1.838,Florence,Italy,44.20N,11.18E
2342472,1751-01-01,2.594,1.986,Florence,Italy,44.20N,11.18E
2342473,1751-02-01,1.996,2.253,Florence,Italy,44.20N,11.18E
2342474,1751-03-01,8.417,1.861,Florence,Italy,44.20N,11.18E
2342475,1751-04-01,9.478,1.616,Florence,Italy,44.20N,11.18E
2342476,1751-05-01,,,Florence,Italy,44.20N,11.18E
2342477,1751-06-01,20.298,1.6980000000000002,Florence,Italy,44.20N,11.18E
2342478,1751-07-01,22.389,1.49,Florence,Italy,44.20N,11.18E
2342479,1751-08-01,22.079,1.464,Florence,Italy,44.20N,11.18E
2342480,1751-09-01,16.673000000000002,1.471,Florence,Italy,44.20N,11.18E
